"architecture_id","architecture","criterion","score","evidence_status","evidence_source","confidence","blocking_missing_data","rationale"
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","partial shading tolerance","4","verified from source","https://www.mdpi.com/2075-5309/14/1/53; https://www.mdpi.com/2075-5309/14/12/3850","medium","iWin blind-module shade matrix; whether each blind/segment has independent MPPT","Facade/BIPV papers support optimizer benefit under module shading; score assumes optimizer granularity is not merged before MPPT."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","suitability for small PV elements","3","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf; https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf","medium","per-blind Voc/Vmp/Isc/Imp/Pmp over temperature and shade","Commercial optimizers accept roughly 12-80 V input in Tigo/Deye examples, but they are module-scale products with hundreds-of-watts ratings."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","moving-cable/interface feasibility","3","verified from source","https://support.huawei.com/enterprise/en/doc/EDOC1100265210-288032bf/connecting-cables","low","moving harness length, bend radius, allowed connectorization, electronics placement","DC collection can keep AC off the moving part, but vendor cabling assumptions include fixed PV leads; Huawei explicitly disallows PV-input extension cable."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","shutdown/isolation safety","4","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf; https://minisite.solaredge.com/hubfs/Power%20Optimizer%20S1400_DS-000205-PHL.pdf; https://support.huawei.com/enterprise/en/doc/EDOC1100265210-998e36a3/technical-specifications","medium","target code path; rapid-shutdown initiator; inverter/gateway pairing","Tigo rapid shutdown infrastructure and SolarEdge/Huawei 1 V safe-output behavior are source-backed, but implementation depends on selected ecosystem."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","thermal packaging","3","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf; https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf","medium","headbox/facade ambient, airflow, derating, solar loading","Optimizer datasheets show IP68 and broad temperature ratings, but blind headbox temperature and mounting thermal path are unknown."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","serviceability/replacement","3","engineering inference","inference","low","access model for optimizer, connectors, gateway, and central inverter","Per-blind/module optimizers are replaceable devices, but many distributed units plus string dependencies can make service logistics heavy."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","monitoring/diagnostics","4","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf; https://www.deyeinverter.com/product/accessory-monitoring-1/SUNXL02A-2538.html","medium","whether monitoring is mandatory; gateway location; blind identifier mapping","Tigo CCA/TAP and Deye concentrator evidence support module-level monitoring pathways, with added infrastructure."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","installation complexity","2","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf","medium","array voltage class, string plan, protection, switching, earthing, rapid shutdown design","DC bus/string architecture inherits PV array wiring/protection rules and vendor gateway/inverter setup."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","price evidence strength","4","verified from source","https://www.onsaplus.eu/tigo-ts4-a-o/; https://signaturesolar.com/tigo-energy/; https://7sun.eu/product-category/optimizers/","high","bulk/OEM pricing; stock; required gateway and inverter cost","Multiple distributor/manufacturer-store anchors exist for optimizers and accessories."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","expected cost per controllable PV unit","4","engineering inference","https://www.onsaplus.eu/tigo-ts4-a-o/; https://7sun.eu/product-category/optimizers/","medium","final per-blind power; central inverter share; gateway/cabling/labor","Raw optimizer hardware around EUR 28-65 net or USD 56 class is lower than most microinverter anchors, but not a complete installed cost."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","regulatory/grid complexity","3","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://webstore.iec.ch/en/publication/6470; https://webstore.iec.ch/en/publication/27684","medium","target jurisdiction; whether electronics are integrated into the blind module; DC bus voltage","Central inverter reduces distributed grid-interactive devices, but high-voltage DC array and module-integrated electronics rules remain."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","maturity/availability","4","verified from source","https://www.tigoenergy.com/product/ts4-a-o; https://www.solaredge.com/en/products/residential/power-optimizers; https://solar.huawei.com/en/products/MERC-1100-1300-P/; https://www.deyeinverter.com/product/accessory-monitoring-1/SUNXL02A-2538.html","medium","vendor support for BIPV/facade blind use; long-term availability","Commercial MLPE is mature and available, but none of the scraped products is marketed as moving-blind electronics."
"A2","PV blind or small group -> microinverter -> AC branch","partial shading tolerance","4","verified from source","https://global.apsystems.com/wp-content/uploads/2025/04/4306626202_APsystems-Microinverter-EZ1-M-EZ1-H-For-EMEA-Datasheet_-Rev1.1_2024-12-09-BC01.pdf; https://global.apsystems.com/wp-content/uploads/2022/07/APsystems-Microinverter-DS3-series-for-APAC-Installation-manual_Rev1.1_2022-07-15.pdf; https://www.tsun-ess.com/files/datasheetgen3-microinverter-6-in-1-0701.pdf","medium","confirmation that each blind gets its own MPPT input; Hoymiles 2T formal MPPT count","Independent MPPT microinverter inputs preserve blind-level tracking if one input maps to one blind module."
"A2","PV blind or small group -> microinverter -> AC branch","suitability for small PV elements","2","verified from source","https://enphase.com/download/iq8-and-iq8-microinverters-data-sheet; https://www.hoymiles.com/products/hms-300-350-400-450-500-1t.html; https://northernep.com/wp-content/uploads/2023/10/BDM-300-Datasheet-102623.pdf","high","per-blind Vmp and Pmp; cold Voc; start-up irradiance behavior","Microinverters found are designed around conventional module voltages and hundreds-of-watts power ranges."
"A2","PV blind or small group -> microinverter -> AC branch","moving-cable/interface feasibility","2","verified from source","https://enphase.com/download/iq8-series-microinverter-installation-and-operation-manual; https://northernep.com/downloads/manuals/BDM-300-micro-inverter-manual.pdf","medium","whether AC remains fixed; junction-box location; flexible DC harness qualification","Manuals assume fixed AC branch/trunk wiring and warn against under-load disconnection; AC on moving blind hardware is unattractive."
"A2","PV blind or small group -> microinverter -> AC branch","shutdown/isolation safety","4","verified from source","https://enphase.com/download/iq8-and-iq8-microinverters-data-sheet; https://northernep.com/wp-content/uploads/2023/10/BDM-300-Datasheet-102623.pdf; https://webstore.iec.ch/en/publication/6479","high","market-specific grid profile and listing; installed wiring method","Microinverters have anti-islanding/grid-certification evidence and PV inverter standards coverage."
"A2","PV blind or small group -> microinverter -> AC branch","thermal packaging","2","verified from source","https://enphase.com/download/iq8-series-microinverter-installation-and-operation-manual; https://global.apsystems.com/wp-content/uploads/2025/04/4306626202_APsystems-Microinverter-EZ1-M-EZ1-H-For-EMEA-Datasheet_-Rev1.1_2024-12-09-BC01.pdf","medium","headbox temperature, mounting heat path, derating curve","Microinverters are sealed power converters; Enphase manual notes heatsink can reach 90 C, and facade/headbox thermal path is unverified."
"A2","PV blind or small group -> microinverter -> AC branch","serviceability/replacement","3","verified from source","https://enphase.com/download/iq8-series-microinverter-installation-and-operation-manual; https://northernep.com/downloads/manuals/BDM-300-micro-inverter-manual.pdf","medium","whether MI is reachable without removing facade/blind; replacement labor","Sealed unit replacement is straightforward only if mounted in an accessible fixed service zone."
"A2","PV blind or small group -> microinverter -> AC branch","monitoring/diagnostics","4","verified from source","https://enphase.com/download/iq8-series-microinverter-installation-and-operation-manual; https://global.apsystems.com/diy/ez1/; https://northernep.com/downloads/manuals/BDM-300-micro-inverter-manual.pdf","medium","gateway/cloud requirements; per-blind channel identity; offline behavior","Vendor gateways/apps provide monitoring paths, but they add commissioning and system dependencies."
"A2","PV blind or small group -> microinverter -> AC branch","installation complexity","2","verified from source","https://enphase.com/download/iq8-series-microinverter-installation-and-operation-manual; https://global.apsystems.com/wp-content/uploads/2025/04/4306626102_APsystems-Microinverter-EZ1-M-EZ1-H-for-EMEA-User-manual_-Rev1.1_2024-12-09-BC01.pdf","high","hardwired vs plug-in; country rules; AC branch layout; protective earth","AC branch wiring, grid profile, junctions, local plug-in limits, and installer requirements move into the facade design."
"A2","PV blind or small group -> microinverter -> AC branch","price evidence strength","4","verified from source","https://enphase.com/store/microinverters/iq8-series; https://solarv.de/apsystems-ez1-m-800w-price; https://www.offgridtec.com/en/hoymiles-hms-500-1t-microinverter-module-inverter.html; https://self2solar.com/products/hms500","high","bulk/OEM pricing; accessory costs; local VAT/grid variant","Multiple price anchors exist for Enphase, APsystems, and Hoymiles."
"A2","PV blind or small group -> microinverter -> AC branch","expected cost per controllable PV unit","2","engineering inference","https://enphase.com/store/microinverters/iq8-series; https://solarv.de/apsystems-ez1-m-800w-price; https://www.offgridtec.com/en/hoymiles-hms-500-1t-microinverter-module-inverter.html","medium","number of blind modules per MI; independent MPPT confirmation; AC accessories/labor","Raw MI hardware per channel is generally higher than optimizer anchors unless a low-cost multi-input unit is shared across independent inputs."
"A2","PV blind or small group -> microinverter -> AC branch","regulatory/grid complexity","2","standards-backed framing","https://www.shopulstandards.com/ProductDetail.aspx?productId=UL1741; https://webstore.iec.ch/en/publication/6479; https://www.ul.com/services/distributed-energy-resource-testing","high","target country/grid code; product listing for installation method; AC branch inspection path","Every MI is a grid-interactive inverter; anti-islanding, interconnection, and AC-module listing constraints are central."
"A2","PV blind or small group -> microinverter -> AC branch","maturity/availability","5","verified from source","https://enphase.com/download/iq8-and-iq8-microinverters-data-sheet; https://global.apsystems.com/diy/ez1/; https://www.hoymiles.com/products/hms-300-350-400-450-500-1t.html; https://northernep.com/products/microinverters/bdm-300/","high","blind/facade support and warranty terms","Microinverters are mature and widely available, although moving BIPV blind use remains outside the explicit source scope."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","partial shading tolerance","1","engineering inference","inference","medium","number of PV segments per shared MPPT; shade mismatch matrix","A shared MPPT across differently shaded/moving blind elements directly compromises distributed shading mitigation."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","suitability for small PV elements","4","engineering inference","inference","low","blind-module voltage/current; aggregation topology; converter start-up behavior","Low-voltage aggregation can be designed around small elements, but no certified commercial product evidence was collected for this exact topology."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","moving-cable/interface feasibility","4","engineering inference","inference","low","allowed voltage class, harness cycle life, connector IP rating, fault protection","Keeping the moving interface at low-voltage DC is mechanically attractive, but the exact cable and protection design is open."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","shutdown/isolation safety","3","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://webstore.iec.ch/en/publication/6470; https://webstore.iec.ch/en/publication/27684","low","voltage class; accessible conductive parts; product integration boundary","Lower voltage may reduce shock/fire design pressure, but PV converter and integrated-electronics standards still apply."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","thermal packaging","4","engineering inference","inference","low","where shared electronics mount; enclosure temperature; derating","Moving heat-generating electronics out of the blind module is favorable if the shared inverter sits in a ventilated fixed service zone."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","serviceability/replacement","4","engineering inference","inference","low","fault isolation method; access to shared box; replacement interval","Fewer shared electronics can improve replacement access, but a shared unit can also become a larger outage boundary."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","monitoring/diagnostics","2","engineering inference","inference","low","per-segment sensing plan; fault localization; data interface","Without per-blind MPPT/electronics, diagnostics may collapse to zone-level unless additional sensing is added."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","installation complexity","3","engineering inference","inference","low","custom protection, cable schedule, commissioning process, listing path","Fewer grid-interactive devices could simplify field installation, but a custom LVDC collector adds nonstandard design work."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","price evidence strength","1","vendor-data-required","inference","high","supplier quotations; BOM; custom engineering/NRE; installed cost","No direct price evidence was collected for a certified low-voltage shared-MPPT blind collector."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","expected cost per controllable PV unit","2","open assumption","inference","low","BOM, production volume, power per blind, certification cost","It could be low-cost at volume, but current evidence does not support assigning favorable cost/W."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","regulatory/grid complexity","3","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://webstore.iec.ch/en/publication/6470; https://webstore.iec.ch/en/publication/27684; https://www.ul.com/services/distributed-energy-resource-testing","low","whether custom electronics are module-integrated; central inverter certification; installation class","A single inverter limits distributed grid interfaces, but custom integrated electronics may create a new certification burden."
"A3","PV blind segments -> low-voltage DC collection -> shared MPPT/inverter","maturity/availability","2","vendor-data-required","inference","medium","identified supplier/product; certification status; field history","No off-the-shelf moving-blind LVDC shared-MPPT product was found; this is mainly a custom architecture."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","partial shading tolerance","4","verified from source","https://www.mdpi.com/2075-5309/14/1/53; https://www.mdpi.com/2075-5309/14/12/3850; https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf","medium","per-blind electrical envelope; within-blind substring mismatch; MPPT count","Per-blind optimizer MPPT preserves blind-module independence and is supported by BIPV optimizer shading evidence."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","suitability for small PV elements","3","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf; https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf; https://www.ti.com/lit/pdf/tiduf99","medium","whether one blind module reaches 12-15 V MPPT floor and usable power","Commercial optimizer floors around 12 V are more forgiving than many MIs, and TI shows a 15-80 V custom reference; still not proven for iWin."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","moving-cable/interface feasibility","4","engineering inference","https://support.huawei.com/enterprise/en/doc/EDOC1100265210-288032bf/connecting-cables","low","whether optimizer can be fixed in headbox; allowed DC harness length; connector qualification","Placing optimizer/inverter in a fixed facade/headbox can keep only short DC harnesses across motion; vendor PV-input extension limits must be checked."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","shutdown/isolation safety","4","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf; https://minisite.solaredge.com/hubfs/Power%20Optimizer%20S1400_DS-000205-PHL.pdf; https://support.huawei.com/enterprise/en/doc/EDOC1100265210-998e36a3/technical-specifications","medium","rapid-shutdown trigger, gateway, inverter compatibility, inspection class","Optimizer safe-output/RSD evidence applies while facade-level inverter can centralize grid disconnection."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","thermal packaging","4","engineering inference","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf; https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf","low","headbox/facade thermal model; inverter heat rejection; service-zone airflow","A fixed service zone gives better heat-sinking options than moving slats; product temp/IP ratings support outdoor use but not the iWin enclosure."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","serviceability/replacement","4","engineering inference","inference","low","access panel design; replaceable unit definition; connector life","A per-blind optimizer in a fixed frame plus shared inverter has a clearer replacement boundary than electronics embedded in moving elements."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","monitoring/diagnostics","4","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf; https://www.deyeinverter.com/product/accessory-monitoring-1/SUNXL02A-2538.html","medium","per-blind channel mapping; gateway/cloud requirement; offline diagnostics","Per-blind optimizer monitoring is plausible with vendor gateway/concentrator infrastructure."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","installation complexity","3","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://webstore.iec.ch/en/publication/6470; https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf","medium","string/DC bus plan; gateway; central inverter; fire/rapid shutdown design","Still requires DC PV array design and gateway setup, but keeps AC branch count lower than per-blind MIs."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","price evidence strength","4","verified from source","https://www.onsaplus.eu/tigo-ts4-a-o/; https://signaturesolar.com/tigo-energy/; https://7sun.eu/product-category/optimizers/","high","central inverter price share; OEM volume price; gateway requirement","Per-blind optimizer price anchors are stronger than custom LVDC evidence and lower than most MI anchors."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","expected cost per controllable PV unit","4","engineering inference","https://www.onsaplus.eu/tigo-ts4-a-o/; https://7sun.eu/product-category/optimizers/; https://signaturesolar.com/tigo-energy/","medium","per-blind power; gateway/inverter/cabling/labor; service access","One optimizer per blind gives a supported raw hardware anchor around EUR 28-65 net or USD 56 class before shared infrastructure."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","regulatory/grid complexity","3","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://webstore.iec.ch/en/publication/6470; https://webstore.iec.ch/en/publication/27684; https://www.ul.com/services/distributed-energy-resource-testing","medium","integrated vs external electronics classification; target market; rapid-shutdown strategy","Fewer grid-interactive endpoints than MI, but PV converter and module-integrated-electronics standards still matter."
"A4","Hybrid: per-blind DC optimizer with facade-level inverter","maturity/availability","4","verified from source","https://www.tigoenergy.com/product/ts4-a-o; https://www.deyeinverter.com/product/accessory-monitoring-1/SUNXL02A-2538.html; https://www.solaredge.com/en/products/residential/power-optimizers; https://solar.huawei.com/en/products/MERC-1100-1300-P/","medium","vendor approval for facade/headbox mounting; inverter compatibility; warranty","Uses mature optimizer/inverter classes, but the fixed-facade per-blind integration is custom."
