"evidence_id","source_id","locator","statement","claim_type","topic","confidence","follow_up_needed"
"E01","S10","Chapter 2; sections 2.2-2.6","Xiao 2017 is the primary DMPPT taxonomy source: it distinguishes centralized MPPT from distributed MPPT and subdivides DMPPT by MPPT granularity at string, module, submodule, and cell level.","direct","DMPPT taxonomy","high","Extract page-level citations if this becomes a formal report or deck."
"E02","S10","Section 2.3","String-level DMPPT uses independent power processing per string; NotebookLM reports DC/DC converter or DC/AC inverter variants sharing a common DC or AC link.","direct","string DMPPT; DC/AC link","high","Verify figure numbers and exact circuit variants in the PDF before topology scoring."
"E03","S10","Section 2.4.1","Module-integrated parallel inverters are the source's AC-side/module-level DMPPT family; NotebookLM maps these to microinverters or AC modules.","direct","AC DMPPT; microinverter","high","Verify AC module protection, monitoring, and service constraints against vendor hardware."
"E04","S10","Section 2.4.2","Module-integrated parallel converters are DC/DC module-level DMPPT connected to a common DC bus.","direct","DC DMPPT; DC bus","high","Check suitability against building DC bus voltage, isolation, and shutdown requirements."
"E05","S10","Section 2.4.3","Module-integrated series converters are DC/DC module-level DMPPT and correspond commercially to DC power optimizers in series strings.","direct","DC DMPPT; power optimizer","high","Validate single-point open-circuit behavior and bypass/shutdown mode for moving facade elements."
"E06","S10","Section 2.4.4","Module-integrated differential power processors process mismatch power rather than full module power; NotebookLM flags wiring and fault complexity.","direct","DPP; module DMPPT","medium","Confirm exact DPP variants and failure modes from the source before rejecting for iWin."
"E07","S10","Section 2.4.5","Module-integrated series inverters are an AC-output module-level DMPPT family with series AC connection.","direct","AC DMPPT; series AC","medium","Needs closer circuit/protection review; not enough evidence for practical selection."
"E08","S10","Section 2.5.1","Submodule-integrated series converters are DC/DC submodule DMPPT and require changes inside the laminated PV electrical layout.","direct","submodule DMPPT","high","Requires vendor laminate/segment access; likely vendor-data-gated for iWin."
"E09","S10","Sections 2.5.2-2.5.3","Submodule DPP variants are discussed as subIDPP/subIPDPP families with communication, wiring, and isolation implications.","direct","submodule DPP","medium","Extract detailed circuit constraints before any architecture comparison."
"E10","S10","Section 2.6","Cell-level DMPPT is discussed as on-chip/integrated power management with low-voltage and cost/complexity drawbacks.","direct","cell-level DMPPT","high","Treat as research reference, not a near-term iWin architecture, unless product evidence appears."
"E11","S10","Chapter 1 and Chapter 9 hybrid-system passages","Xiao 2017 uses hybrid mainly for PV plus another generation source or for control-system wording; NotebookLM explicitly reported that the source does not use the phrase 'hybrid DMPPT'.","direct","terminology; hybrid DMPPT","high","If hybrid DMPPT remains desired, define it as project terminology rather than source terminology."
"E12","S02","Chapter 2.2.4 Electrical design of a BIPV system","Chivelet 2025 identifies BIPV electrical design as central under partial shading and non-uniform irradiance; local text corroborated central, string/multi-string, microinverter, and DC-DC optimizer options.","direct","BIPV electrical design","high","Extract page number and exact figure references for formal citation."
"E13","S02","Chapter 4 and Chapter 5 installation passages surfaced by local text search","Chivelet 2025 connects BIPV BOS to central/string/microinverters and DC-DC optimizers, and recommends power optimizers or microinverters when shading is unavoidable.","direct","BIPV MLPE; shading mitigation","high","Verify whether the recommendation is general BIPV guidance or specific facade/louver guidance."
"E14","S05","IEC 62548:2016 sections 5.1.2-5.1.6","IEC 62548 provides the standards-side architecture hooks: PV system architectures, PCE with multiple DC inputs, strings with DC conditioning units, and series-parallel configuration.","direct","PV array architecture standard","high","Check national adoption/current edition before using as compliance authority."
"E15","S05","IEC 62548:2016 figure list and clause 5.1.5","The standard includes a PV array example using PCE with multiple MPPT DC inputs and a PV string constructed using DC conditioning units.","direct","multiple MPPT inputs; DCU","high","Confirm applicable safety clauses for DCU shutdown and IEC 62109 references."
"E16","S09","Chapter 1, sections 1.4.3.1-1.4.3.4","Photovoltaic Systems Technology 2024 provides a current inverter taxonomy: central, module, string, and multi-string inverter topologies.","direct","inverter taxonomy","high","Use as secondary taxonomy; Xiao remains stronger for DMPPT detail."
"E17","S09","Chapter 3","Photovoltaic Systems Technology 2024 covers static and dynamic PV array reconfiguration for mismatch and partial-shading mitigation.","direct","array reconfiguration; mismatch","high","Potentially useful as a non-MLPE comparator after hard-gate data are populated."
"E18","S09","Chapter 5","Photovoltaic Systems Technology 2024 reviews MPPT/GMPPT algorithms under mismatch conditions.","direct","MPPT/GMPPT algorithms","high","Do not confuse algorithmic hybrid methods with hybrid DMPPT topology."
"E19","S09","Chapters 6 and 12","The 2024 book uses hybrid for hybrid renewable energy systems and hybrid PV/PEM fuel-cell systems, not as a DMPPT topology category.","direct","hybrid terminology","high","Skip unless the project scope expands to PV plus storage/fuel cell/wind/diesel."
"E20","S06","Chapter 4","The Hebert MPPT source discusses DMPPT/topology-based approaches and notes MPPT may be applied in the DC-DC interface or DC-AC interface depending on architecture.","direct","DMPPT DC/AC interface","high","Extract exact table/section references if comparing residential vs utility relevance."
"E21","S06","Chapter 4; local text search for hybrid","The Hebert source uses hybrid in multiple senses including hybrid systems, hybrid algorithm techniques, and hybrid cases; this is not enough evidence for a source-defined 'hybrid DMPPT' class.","direct","hybrid terminology caution","medium","Need exact chapter context if citing hybrid algorithm methods."
"E22","S11","Chapters 4.3, 4.4, 4.5.3","Haeberlin 2012 covers module/string interconnection, partial shading, mismatch loss, and electrical integration of solar generators.","direct","generator interconnection; shading","high","Use for physics and practical yield-loss grounding, not DMPPT taxonomy."
"E23","S11","Sections 5.1.2.5, 5.2.2, 5.2.5","Haeberlin 2012 covers MPPT charge controllers, grid-connected system layouts with central/string/module inverters, and static/dynamic MPPT tracking efficiency.","direct","MPPT efficiency; inverter layouts","high","Useful for validation metrics after architecture shortlist is defined."
"E24","S07","Chapter 3","Khatib/Elmenreich 2016 is useful for modeling DC-DC converters, DC-AC inverters, auxiliary sources, and MPPT controllers in MATLAB.","direct","simulation/modeling","medium","NotebookLM-derived only in this pass; run local PDF text extraction before formal use."
"E25","S08","Chapters 8 and 9","Mayfield 2010 provides practical definitions of charge-controller MPPT, grid-direct inverter MPPT, multiple MPPT inputs, microinverters, string inverters, and central inverters.","direct","practical PV definitions","high","Useful as a quick glossary, not as an advanced DMPPT source."
"E26","S03","Sections 2.2 and 4 surfaced by NotebookLM","The BIPV windows review is useful for optical/thermal/window context but does not provide detailed electrical power topology or DMPPT treatment.","direct","skip rationale","medium","Use only if facade-window performance context is needed."
"E27","S04","source inventory","The GitHub prompt repository is not technical PV evidence and should be excluded from this electrical-topology source map.","direct","skip rationale","high","None."
"E28","S10,S02,S05,S09,S06,S11","Synthesis from NotebookLM plus local PDF text checks","For iWin/BIPV architecture, the evidence base supports separating DC-side DMPPT, AC-side DMPPT, and hybrid-energy-system terminology; it does not support treating 'hybrid DMPPT' as a source-defined class without an explicit project definition.","inferred","iWin topology framing","high","Define project terms before generating a decision matrix."
